Index,Date,Closing Price
Dow Jones,2020-01-02,"28,868.80"
Dow Jones,2020-01-03,"28,634.88"
Dow Jones,2020-01-06,"28,703.38"
Dow Jones,2020-01-07,"28,583.68"
Dow Jones,2020-01-08,"28,745.09"
Dow Jones,2020-01-09,"28,956.90"
Dow Jones,2020-01-10,"28,823.77"
Dow Jones,2020-01-13,"28,907.05"
Dow Jones,2020-01-14,"28,939.67"
Dow Jones,2020-01-15,"29,030.22"
Dow Jones,2020-01-16,"29,297.64"
Dow Jones,2020-01-17,"29,348.10"
Dow Jones,2020-01-21,"29,196.04"
Dow Jones,2020-01-22,"29,186.27"
Dow Jones,2020-01-23,"29,160.09"
Dow Jones,2020-01-24,"28,989.73"
Dow Jones,2020-01-27,"28,535.80"
Dow Jones,2020-01-28,"28,722.85"
Dow Jones,2020-01-29,"28,734.45"
Dow Jones,2020-01-30,"28,859.44"
Dow Jones,2020-01-31,"28,256.03"
Dow Jones,2020-02-03,"28,399.81"
Dow Jones,2020-02-04,"28,807.63"
Dow Jones,2020-02-05,"29,290.85"
Dow Jones,2020-02-06,"29,379.77"
Dow Jones,2020-02-07,"29,102.51"
Dow Jones,2020-02-10,"29,276.82"
Dow Jones,2020-02-11,"29,276.34"
Dow Jones,2020-02-12,"29,551.42"
Dow Jones,2020-02-13,"29,423.31"
Dow Jones,2020-02-14,"29,398.08"
Dow Jones,2020-02-18,"29,232.19"
Dow Jones,2020-02-19,"29,348.03"
Dow Jones,2020-02-20,"29,219.98"
Dow Jones,2020-02-21,"28,992.41"
Dow Jones,2020-02-24,"27,960.80"
Dow Jones,2020-02-25,"27,081.36"
Dow Jones,2020-02-26,"26,957.59"
Dow Jones,2020-02-27,"25,766.64"
Dow Jones,2020-02-28,"25,409.36"
Dow Jones,2020-03-02,"26,703.32"
Dow Jones,2020-03-03,"25,917.41"
Dow Jones,2020-03-04,"27,090.86"
Dow Jones,2020-03-05,"26,121.28"
Dow Jones,2020-03-06,"25,864.78"
Dow Jones,2020-03-09,"23,851.02"
Dow Jones,2020-03-10,"25,018.16"
Dow Jones,2020-03-11,"23,553.22"
Dow Jones,2020-03-12,"21,200.62"
Dow Jones,2020-03-13,"23,185.62"
Dow Jones,2020-03-16,"20,188.52"
Dow Jones,2020-03-17,"21,237.38"
Dow Jones,2020-03-18,"19,898.92"
Dow Jones,2020-03-19,"20,087.19"
Dow Jones,2020-03-20,"19,173.98"
Dow Jones,2020-03-23,"18,591.93"
Dow Jones,2020-03-24,"20,704.91"
Dow Jones,2020-03-25,"21,200.55"
Dow Jones,2020-03-26,"22,552.17"
Dow Jones,2020-03-27,"21,636.78"
Dow Jones,2020-03-30,"22,327.48"
Dow Jones,2020-03-31,"21,917.16"
Dow Jones,2020-04-01,"20,943.51"
Dow Jones,2020-04-02,"21,413.44"
Dow Jones,2020-04-03,"21,052.53"
Dow Jones,2020-04-06,"22,679.99"
Dow Jones,2020-04-07,"22,653.86"
Dow Jones,2020-04-08,"23,433.57"
Dow Jones,2020-04-09,"23,719.37"
Dow Jones,2020-04-13,"23,390.77"
Dow Jones,2020-04-14,"23,949.76"
Dow Jones,2020-04-15,"23,504.35"
Dow Jones,2020-04-16,"23,537.68"
Dow Jones,2020-04-17,"24,242.49"
Dow Jones,2020-04-20,"23,650.44"
Dow Jones,2020-04-21,"23,018.88"
Dow Jones,2020-04-22,"23,475.82"
Dow Jones,2020-04-23,"23,515.26"
Dow Jones,2020-04-24,"23,775.27"
Dow Jones,2020-04-27,"24,133.78"
Dow Jones,2020-04-28,"24,101.55"
Dow Jones,2020-04-29,"24,633.86"
Dow Jones,2020-04-30,"24,345.72"
Dow Jones,2020-05-01,"23,723.69"
Dow Jones,2020-05-04,"23,749.76"
Dow Jones,2020-05-05,"23,883.09"
Dow Jones,2020-05-06,"23,664.64"
Dow Jones,2020-05-07,"23,875.89"
Dow Jones,2020-05-08,"24,331.32"
Dow Jones,2020-05-11,"24,221.99"
Dow Jones,2020-05-12,"23,764.78"
Dow Jones,2020-05-13,"23,247.97"
Dow Jones,2020-05-14,"23,625.34"
Dow Jones,2020-05-15,"23,685.42"
Dow Jones,2020-05-18,"24,597.37"
Dow Jones,2020-05-19,"24,206.86"
Dow Jones,2020-05-20,"24,575.90"
Dow Jones,2020-05-21,"24,474.12"
Dow Jones,2020-05-22,"24,465.16"
Dow Jones,2020-05-26,"24,995.11"
Dow Jones,2020-05-27,"25,548.27"
Dow Jones,2020-05-28,"25,400.64"
Dow Jones,2020-05-29,"25,383.11"
Dow Jones,2020-06-01,"25,475.02"
Dow Jones,2020-06-02,"25,742.65"
Dow Jones,2020-06-03,"26,269.89"
Dow Jones,2020-06-04,"26,281.82"
Dow Jones,2020-06-05,"27,110.98"
NASDAQ 100,2020-01-02,"8,872.22"
NASDAQ 100,2020-01-03,"8,793.90"
NASDAQ 100,2020-01-06,"8,848.52"
NASDAQ 100,2020-01-07,"8,846.45"
NASDAQ 100,2020-01-08,"8,912.37"
NASDAQ 100,2020-01-09,"8,989.63"
NASDAQ 100,2020-01-10,"8,966.64"
NASDAQ 100,2020-01-13,"9,070.65"
NASDAQ 100,2020-01-14,"9,033.42"
NASDAQ 100,2020-01-15,"9,035.67"
NASDAQ 100,2020-01-16,"9,125.00"
NASDAQ 100,2020-01-17,"9,173.73"
NASDAQ 100,2020-01-21,"9,166.63"
NASDAQ 100,2020-01-22,"9,188.57"
NASDAQ 100,2020-01-23,"9,216.98"
NASDAQ 100,2020-01-24,"9,141.47"
NASDAQ 100,2020-01-27,"8,952.18"
NASDAQ 100,2020-01-28,"9,090.93"
NASDAQ 100,2020-01-29,"9,101.61"
NASDAQ 100,2020-01-30,"9,136.09"
NASDAQ 100,2020-01-31,"8,991.51"
NASDAQ 100,2020-02-03,"9,126.23"
NASDAQ 100,2020-02-04,"9,334.06"
NASDAQ 100,2020-02-05,"9,367.48"
NASDAQ 100,2020-02-06,"9,445.92"
NASDAQ 100,2020-02-07,"9,401.10"
NASDAQ 100,2020-02-10,"9,516.84"
NASDAQ 100,2020-02-11,"9,517.86"
NASDAQ 100,2020-02-12,"9,613.20"
NASDAQ 100,2020-02-13,"9,595.70"
NASDAQ 100,2020-02-14,"9,623.58"
NASDAQ 100,2020-02-18,"9,629.80"
